Designator,Mid X,Mid Y,Rotation,Layer
S46,97.91,-35.7,0.0,top
S47,130.81,-38.9,0.0,top
S48,130.81,-42.1,0.0,top
S49,130.81,-45.2,0.0,top
S5,102.61,-38.9,0.0,top
S50,130.81,-48.3,0.0,top
S51,88.51,-20.2,0.0,top
S52,88.51,-23.3,0.0,top
S53,88.5325,-26.4,0.0,top
S54,88.51,-29.5,0.0,top
S55,88.51,-32.6,0.0,top
S56,93.21,-20.2,0.0,top
S57,93.21,-23.3,0.0,top
S58,93.21,-26.4,0.0,top
S59,93.21,-29.5,0.0,top
S6,102.61,-42.1,0.0,top
S60,93.21,-32.6,0.0,top
S61,97.91,-20.2,0.0,top
S62,97.91,-23.3,0.0,top
S63,97.91,-26.4,0.0,top
S64,97.91,-29.5,0.0,top
S65,97.91,-32.6,0.0,top
S66,102.61,-20.2,0.0,top
S67,102.61,-23.3,0.0,top
S68,102.61,-26.4,0.0,top
S69,102.61,-29.5,0.0,top
S7,102.61,-45.2,0.0,top
S70,102.61,-32.6,0.0,top
S71,107.31,-20.2,0.0,top
S72,107.31,-23.3,0.0,top
S73,107.31,-26.4,0.0,top
S74,107.31,-29.5,0.0,top
S75,107.31,-32.6,0.0,top
S76,112.01,-20.2,0.0,top
S77,112.01,-23.3,0.0,top
S78,112.01,-26.4,0.0,top
S79,112.01,-29.5,0.0,top
S8,102.61,-48.3,0.0,top
S80,112.01,-32.6,0.0,top
S81,116.71,-20.2,0.0,top
S82,116.71,-23.3,0.0,top
S83,116.71,-26.4,0.0,top
S84,116.71,-29.5,0.0,top
S85,116.71,-32.6,0.0,top
S86,121.41,-20.2,0.0,top
S87,121.41,-23.3,0.0,top
S88,121.41,-26.4,0.0,top
S89,121.41,-29.5,0.0,top
S9,107.31,-35.7,0.0,top
S90,121.41,-32.6,0.0,top
S91,126.11,-20.2,0.0,top
S92,126.11,-23.3,0.0,top
S93,126.11,-26.4,0.0,top
S94,126.11,-29.5,0.0,top
S95,126.11,-32.6,0.0,top
S96,130.81,-20.2,0.0,top
S97,130.81,-23.3,0.0,top
S98,130.81,-26.4,0.0,top
S99,130.81,-29.5,0.0,top
